getClassLoad,是否需要,如需要，请补充理由,,,,,,,,,,,,,,,,,
Landroid/net/SSLCertificateSocketFactory;->makeSocketFactory([Ljavax/net/ssl/KeyManager;[Ljavax/net/ssl/TrustManager;)Ljavax/net/ssl/SSLSocketFactory;,,,,,,,,,,,,,,,,,,,
Landroid/net/SSLCertificateSocketFactory;->mAlpnProtocols:[B,,,,,,,,,,,,,,,,,,,
Landroid/net/SSLCertificateSocketFactory;->mChannelIdPrivateKey:Ljava/security/PrivateKey;,,,,,,,,,,,,,,,,,,,
Landroid/net/SSLCertificateSocketFactory;->mKeyManagers:[Ljavax/net/ssl/KeyManager;,,,,,,,,,,,,,,,,,,,
Landroid/net/SSLCertificateSocketFactory;->mNpnProtocols:[B,,,,,,,,,,,,,,,,,,,
Landroid/net/SSLCertificateSocketFactory;->mSessionCache:Lcom/android/org/conscrypt/SSLClientSessionCache;,,,,,,,,,,,,,,,,,,,
Landroid/net/SSLCertificateSocketFactory;->mTrustManagers:[Ljavax/net/ssl/TrustManager;,,,,,,,,,,,,,,,,,,,
Landroid/net/SSLCertificateSocketFactory;->setAlpnProtocols([[B)V,,,,,,,,,,,,,,,,,,,
Landroid/net/SSLCertificateSocketFactory;->setSoWriteTimeout(Ljava/net/Socket;I)V,,,,,,,,,,,,,,,,,,,
Landroid/net/StaticIpConfiguration;->dnsServers:Ljava/util/ArrayList;,,,,,,,,,,,,,,,,,,,
Landroid/net/StaticIpConfiguration;->domains:Ljava/lang/String;,,,,,,,,,,,,,,,,,,,
Landroid/net/StaticIpConfiguration;->gateway:Ljava/net/InetAddress;,,,,,,,,,,,,,,,,,,,
Landroid/net/StaticIpConfiguration;->ipAddress:Landroid/net/LinkAddress;,,,,,,,,,,,,,,,,,,,
Landroid/net/TrafficStats;->getMobileTcpRxPackets()J,,,,,,,,,,,,,,,,,,,
Landroid/net/TrafficStats;->getMobileTcpTxPackets()J,,,,,,,,,,,,,,,,,,,
Landroid/net/WebAddress;->getAuthInfo()Ljava/lang/String;,,,,,,,,,,,,,,,,,,,
Landroid/net/WebAddress;->setHost(Ljava/lang/String;)V,,,,,,,,,,,,,,,,,,,
Landroid/net/wifi/IWifiManager$Stub;->TRANSACTION_getScanResults:I,否,,,,,,,,,,,,,,,,,,
Landroid/net/wifi/IWifiManager;->getCurrentNetwork()Landroid/net/Network;,否,,,,,,,,,,,,,,,,,,
Landroid/net/wifi/p2p/IWifiP2pManager$Stub;->asInterface(Landroid/os/IBinder;)Landroid/net/wifi/p2p/IWifiP2pManager;,否,,,,,,,,,,,,,,,,,,
Landroid/net/wifi/p2p/nsd/WifiP2pServiceInfo;->CREATOR:Landroid/os/Parcelable$Creator;,否,,,,,,,,,,,,,,,,,,
Landroid/net/wifi/p2p/nsd/WifiP2pServiceRequest;->CREATOR:Landroid/os/Parcelable$Creator;,否,,,,,,,,,,,,,,,,,,
Landroid/net/wifi/p2p/WifiP2pConfig;->netId:I,否,,,,,,,,,,,,,,,,,,
Landroid/net/wifi/p2p/WifiP2pDevice;-><init>(Ljava/lang/String;)V,否,,,,,,,,,,,,,,,,,,
Landroid/net/wifi/p2p/WifiP2pDeviceList;->update(Landroid/net/wifi/p2p/WifiP2pDevice;)V,否,,,,,,,,,,,,,,,,,,
Landroid/net/wifi/p2p/WifiP2pManager$Channel;->putListener(Ljava/lang/Object;)I,否,,,,,,,,,,,,,,,,,,
Landroid/net/wifi/p2p/WifiP2pManager;->CREATE_GROUP:I,否,,,,,,,,,,,,,,,,,,
Landroid/net/wifi/p2p/WifiP2pManager;->setWFDInfo(Landroid/net/wifi/p2p/WifiP2pManager$Channel;Landroid/net/wifi/p2p/WifiP2pWfdInfo;Landroid/net/wifi/p2p/WifiP2pManager$ActionListener;)V,否,,,,,,,,,,,,,,,,,,
Landroid/net/wifi/p2p/WifiP2pManager;->startWps(Landroid/net/wifi/p2p/WifiP2pManager$Channel;Landroid/net/wifi/WpsInfo;Landroid/net/wifi/p2p/WifiP2pManager$ActionListener;)V,否,,,,,,,,,,,,,,,,,,
Landroid/net/wifi/ScanResult$InformationElement;->EID_BSS_LOAD:I,否,,,,,,,,,,,,,,,,,,
Landroid/net/wifi/ScanResult$InformationElement;->EID_ERP:I,否,,,,,,,,,,,,,,,,,,
Landroid/net/wifi/ScanResult$InformationElement;->EID_EXTENDED_CAPS:I,否,,,,,,,,,,,,,,,,,,
Landroid/net/wifi/ScanResult$InformationElement;->EID_EXTENDED_SUPPORTED_RATES:I,否,,,,,,,,,,,,,,,,,,
Landroid/net/wifi/ScanResult$InformationElement;->EID_HT_OPERATION:I,否,,,,,,,,,,,,,,,,,,
Landroid/net/wifi/ScanResult$InformationElement;->EID_INTERWORKING:I,否,,,,,,,,,,,,,,,,,,
Landroid/net/wifi/ScanResult$InformationElement;->EID_ROAMING_CONSORTIUM:I,否,,,,,,,,,,,,,,,,,,
Landroid/net/wifi/ScanResult$InformationElement;->EID_RSN:I,否,,,,,,,,,,,,,,,,,,
Landroid/net/wifi/ScanResult$InformationElement;->EID_SSID:I,否,,,,,,,,,,,,,,,,,,
Landroid/net/wifi/ScanResult$InformationElement;->EID_SUPPORTED_RATES:I,否,,,,,,,,,,,,,,,,,,
Landroid/net/wifi/ScanResult$InformationElement;->EID_TIM:I,否,,,,,,,,,,,,,,,,,,
Landroid/net/wifi/ScanResult$InformationElement;->EID_VHT_OPERATION:I,否,,,,,,,,,,,,,,,,,,
Landroid/net/wifi/ScanResult$InformationElement;->EID_VSA:I,否,,,,,,,,,,,,,,,,,,
Landroid/net/wifi/ScanResult;->is80211McRTTResponder:Z,否,,,,,,,,,,,,,,,,,,
Landroid/net/wifi/WifiConfiguration;->noInternetAccessExpected:Z,否,,,,,,,,,,,,,,,,,,
Landroid/net/wifi/WifiConfiguration;->numNoInternetAccessReports:I,否,,,,,,,,,,,,,,,,,,
Landroid/net/wifi/WifiConfiguration;->selfAdded:Z,否,,,,,,,,,,,,,,,,,,
Landroid/net/wifi/WifiManager;->LINK_CONFIGURATION_CHANGED_ACTION:Ljava/lang/String;,否,,,,,,,,,,,,,,,,,,
Landroid/net/wifi/WifiManager;->RSSI_LEVELS:I,否,,,,,,,,,,,,,,,,,,
Landroid/nfc/INfcAdapter$Stub;->TRANSACTION_enable:I,,,,,,,,,,,,,,,,,,,
Landroid/nfc/INfcAdapterExtras;->authenticate(Ljava/lang/String;[B)V,,,,,,,,,,,,,,,,,,,
Landroid/nfc/INfcAdapterExtras;->close(Ljava/lang/String;Landroid/os/IBinder;)Landroid/os/Bundle;,,,,,,,,,,,,,,,,,,,
Landroid/nfc/INfcAdapterExtras;->getCardEmulationRoute(Ljava/lang/String;)I,,,,,,,,,,,,,,,,,,,
Landroid/nfc/INfcAdapterExtras;->getDriverName(Ljava/lang/String;)Ljava/lang/String;,,,,,,,,,,,,,,,,,,,
Landroid/nfc/INfcAdapterExtras;->open(Ljava/lang/String;Landroid/os/IBinder;)Landroid/os/Bundle;,,,,,,,,,,,,,,,,,,,
Landroid/nfc/INfcAdapterExtras;->setCardEmulationRoute(Ljava/lang/String;I)V,,,,,,,,,,,,,,,,,,,
Landroid/nfc/INfcAdapterExtras;->transceive(Ljava/lang/String;[B)Landroid/os/Bundle;,,,,,,,,,,,,,,,,,,,
Landroid/nfc/NdefRecord;->mId:[B,,,,,,,,,,,,,,,,,,,
Landroid/nfc/NfcAdapter;->getNfcAdapterExtrasInterface()Landroid/nfc/INfcAdapterExtras;,,,,,,,,,,,,,,,,,,,
Landroid/nfc/Tag;->mId:[B,,,,,,,,,,,,,,,,,,,
Landroid/opengl/EGL14;->eglGetDisplay(J)Landroid/opengl/EGLDisplay;,,,,,,,,,,,,,,,,,,,
Landroid/os/BaseBundle;->isParcelled()Z,,,,,,,,,,,,,,,,,,,
Landroid/os/BatteryManager;->EXTRA_CHARGE_COUNTER:Ljava/lang/String;,,,,,,,,,,,,,,,,,,,
Landroid/os/BatteryManager;->EXTRA_MAX_CHARGING_CURRENT:Ljava/lang/String;,,,,,,,,,,,,,,,,,,,
Landroid/os/BatteryManager;->EXTRA_MAX_CHARGING_VOLTAGE:Ljava/lang/String;,,,,,,,,,,,,,,,,,,,
Landroid/os/BatteryStats$Uid;->getWifiBatchedScanTime(IJI)J,,,,,,,,,,,,,,,,,,,
Landroid/os/BatteryStats;->WAKE_TYPE_PARTIAL:I,,,,,,,,,,,,,,,,,,,
Landroid/os/Broadcaster;->broadcast(Landroid/os/Message;)V,,,,,,,,,,,,,,,,,,,
Landroid/os/Broadcaster;->cancelRequest(ILandroid/os/Handler;I)V,,,,,,,,,,,,,,,,,,,
Landroid/os/Broadcaster;-><init>()V,,,,,,,,,,,,,,,,,,,
Landroid/os/Broadcaster;->request(ILandroid/os/Handler;I)V,,,,,,,,,,,,,,,,,,,
Landroid/os/Bundle;->filterValues()Landroid/os/Bundle;,,,,,,,,,,,,,,,,,,,
Landroid/os/Bundle;->forPair(Ljava/lang/String;Ljava/lang/String;)Landroid/os/Bundle;,,,,,,,,,,,,,,,,,,,
Landroid/os/Bundle;->getSize()I,,,,,,,,,,,,,,,,,,,
Landroid/os/Debug$MemoryInfo;->dalvikRss:I,,,,,,,,,,,,,,,,,,,
Landroid/os/Debug$MemoryInfo;->dalvikSwappedOutPss:I,,,,,,,,,,,,,,,,,,,
Landroid/os/Debug$MemoryInfo;->hasSwappedOutPss:Z,,,,,,,,,,,,,,,,,,,
Landroid/os/Debug$MemoryInfo;->nativeRss:I,,,,,,,,,,,,,,,,,,,
Landroid/os/Debug$MemoryInfo;->nativeSwappedOutPss:I,,,,,,,,,,,,,,,,,,,
Landroid/os/Debug$MemoryInfo;->otherRss:I,,,,,,,,,,,,,,,,,,,
Landroid/os/Debug$MemoryInfo;->otherSwappedOutPss:I,,,,,,,,,,,,,,,,,,,
Landroid/os/Debug;->dumpNativeHeap(Ljava/io/FileDescriptor;)V,,,,,,,,,,,,,,,,,,,
Landroid/os/Debug;-><init>()V,,,,,,,,,,,,,,,,,,,
Landroid/os/Environment;->buildExternalStorageAppObbDirs(Ljava/lang/String;)[Ljava/io/File;,,,,,,,,,,,,,,,,,,,
Landroid/os/Environment;->getLegacyExternalStorageObbDirectory()Ljava/io/File;,,,,,,,,,,,,,,,,,,,
Landroid/os/FileObserver$ObserverThread;->onEvent(IILjava/lang/String;)V,,,,,,,,,,,,,,,,,,,
Landroid/os/FileUtils;->checksumCrc32(Ljava/io/File;)J,,,,,,,,,,,,,,,,,,,
Landroid/os/FileUtils;->deleteContents(Ljava/io/File;)Z,,,,,,,,,,,,,,,,,,,
Landroid/os/FileUtils;->deleteOlderFiles(Ljava/io/File;IJ)Z,,,,,,,,,,,,,,,,,,,
Landroid/os/FileUtils;->setPermissions(Ljava/io/FileDescriptor;III)I,,,,,,,,,,,,,,,,,,,
Landroid/os/FileUtils;->stringToFile(Ljava/io/File;Ljava/lang/String;)V,,,,,,,,,,,,,,,,,,,
Landroid/os/Handler;->getMain()Landroid/os/Handler;,,,,,,,,,,,,,,,,,,,
Landroid/os/Handler;-><init>(Z)V,,,,,,,,,,,,,,,,,,,
Landroid/os/health/HealthStatsParceler;->CREATOR:Landroid/os/Parcelable$Creator;,,,,,,,,,,,,,,,,,,,
Landroid/os/health/SystemHealthManager;-><init>()V,,,,,,,,,,,,,,,,,,,
Landroid/os/HwBinder;->reportSyspropChanged()V,,,,,,,,,,,,,,,,,,,
Landroid/os/IBinder;->SYSPROPS_TRANSACTION:I,,,,,,,,,,,,,,,,,,,
Landroid/os/IDeviceIdleController;->getAppIdTempWhitelist()[I,,,,,,,,,,,,,,,,,,,
Landroid/os/IDeviceIdleController;->getFullPowerWhitelistExceptIdle()[Ljava/lang/String;,,,,,,,,,,,,,,,,,,,
Landroid/os/INetworkManagementService;->clearInterfaceAddresses(Ljava/lang/String;)V,,,,,,,,,,,,,,,,,,,
Landroid/os/INetworkManagementService;->disableIpv6(Ljava/lang/String;)V,,,,,,,,,,,,,,,,,,,
Landroid/os/INetworkManagementService;->enableIpv6(Ljava/lang/String;)V,,,,,,,,,,,,,,,,,,,
Landroid/os/INetworkManagementService;->isBandwidthControlEnabled()Z,,,,,,,,,,,,,,,,,,,
Landroid/os/INetworkManagementService;->setInterfaceIpv6PrivacyExtensions(Ljava/lang/String;Z)V,,,,,,,,,,,,,,,,,,,
Landroid/os/INetworkManagementService;->setIPv6AddrGenMode(Ljava/lang/String;I)V,,,,,,,,,,,,,,,,,,,
Landroid/os/IPowerManager$Stub;->TRANSACTION_acquireWakeLock:I,,,,,,,,,,,,,,,,,,,
Landroid/os/IPowerManager$Stub;->TRANSACTION_goToSleep:I,,,,,,,,,,,,,,,,,,,
Landroid/os/IPowerManager;->goToSleep(JII)V,,,,,,,,,,,,,,,,,,,
Landroid/os/LocaleList;->setDefault(Landroid/os/LocaleList;I)V,,,,,,,,,,,,,,,,,,,
Landroid/os/MemoryFile;->native_pin(Ljava/io/FileDescriptor;Z)Z,,,,,,,,,,,,,,,,,,,
Landroid/os/MessageQueue;->dispatchEvents(II)I,,,,,,,,,,,,,,,,,,,
Landroid/os/MessageQueue;->hasMessages(Landroid/os/Handler;Ljava/lang/Runnable;Ljava/lang/Object;)Z,,,,,,,,,,,,,,,,,,,
Landroid/os/ParcelableParcel;->CREATOR:Landroid/os/Parcelable$ClassLoaderCreator;,,,,,,,,,,,,,,,,,,,
Landroid/os/ParcelableParcel;->getClassLoader()Ljava/lang/ClassLoader;,,,,,,,,,,,,,,,,,,,
Landroid/os/ParcelableParcel;->getParcel()Landroid/os/Parcel;,,,,,,,,,,,,,,,,,,,
Landroid/os/ParcelableParcel;-><init>(Ljava/lang/ClassLoader;)V,,,,,,,,,,,,,,,,,,,
Landroid/os/Parcel;->getGlobalAllocCount()J,,,,,,,,,,,,,,,,,,,
Landroid/os/Parcel;->getGlobalAllocSize()J,,,,,,,,,,,,,,,,,,,
Landroid/os/Parcel;->readArrayMap(Landroid/util/ArrayMap;Ljava/lang/ClassLoader;)V,,,,,,,,,,,,,,,,,,,
Landroid/os/Parcel;->readBlob()[B,,,,,,,,,,,,,,,,,,,
Landroid/os/Parcel;->writeArrayMap(Landroid/util/ArrayMap;)V,,,,,,,,,,,,,,,,,,,
Landroid/os/Parcel;->writeArraySet(Landroid/util/ArraySet;)V,,,,,,,,,,,,,,,,,,,
Landroid/os/Parcel;->writeBlob([B)V,,,,,,,,,,,,,,,,,,,
Landroid/os/PerformanceCollector;->startTiming(Ljava/lang/String;)V,,,,,,,,,,,,,,,,,,,
Landroid/os/PerformanceCollector;->stopTiming(Ljava/lang/String;)Landroid/os/Bundle;,,,,,,,,,,,,,,,,,,,
Landroid/os/PowerManager;->ACTION_LIGHT_DEVICE_IDLE_MODE_CHANGED:Ljava/lang/String;,,,,,,,,,,,,,,,,,,,
Landroid/os/PowerManager;->getBrightnessConstraint(I)F,,,,,,,,,,,,,,,,,,,
Landroid/os/Process;->DRM_UID:I,,,,,,,,,,,,,,,,,,,
Landroid/os/Process;->FIRST_ISOLATED_UID:I,,,,,,,,,,,,,,,,,,,
Landroid/os/Process;->LAST_ISOLATED_UID:I,,,,,,,,,,,,,,,,,,,
Landroid/os/Process;->LOG_UID:I,,,,,,,,,,,,,,,,,,,
Landroid/os/Process;->MEDIA_UID:I,,,,,,,,,,,,,,,,,,,
Landroid/os/Process;->myPpid()I,,,,,,,,,,,,,,,,,,,
Landroid/os/Process;->NFC_UID:I,,,,,,,,,,,,,,,,,,,
Landroid/os/Process;->PROC_COMBINE:I,,,,,,,,,,,,,,,,,,,
Landroid/os/Process;->PROC_OUT_FLOAT:I,,,,,,,,,,,,,,,,,,,
Landroid/os/Process;->PROC_OUT_LONG:I,,,,,,,,,,,,,,,,,,,
Landroid/os/Process;->PROC_OUT_STRING:I,,,,,,,,,,,,,,,,,,,
Landroid/os/Process;->PROC_PARENS:I,,,,,,,,,,,,,,,,,,,
Landroid/os/Process;->PROC_QUOTES:I,,,,,,,,,,,,,,,,,,,
Landroid/os/Process;->PROC_SPACE_TERM:I,,,,,,,,,,,,,,,,,,,
Landroid/os/Process;->PROC_TAB_TERM:I,,,,,,,,,,,,,,,,,,,
Landroid/os/Process;->PROC_TERM_MASK:I,,,,,,,,,,,,,,,,,,,
Landroid/os/Process;->PROC_ZERO_TERM:I,,,,,,,,,,,,,,,,,,,
Landroid/os/Process;->VPN_UID:I,,,,,,,,,,,,,,,,,,,
Landroid/os/ServiceManager;->addService(Ljava/lang/String;Landroid/os/IBinder;ZI)V,,,,,,,,,,,,,,,,,,,
Landroid/os/SharedMemory;->getFd()I,,,,,,,,,,,,,,,,,,,
Landroid/os/ShellCommand;->peekNextArg()Ljava/lang/String;,,,,,,,,,,,,,,,,,,,
Landroid/os/StatFs;->mStat:Landroid/system/StructStatVfs;,,,,,,,,,,,,,,,,,,,
Landroid/os/storage/StorageEventListener;->onDiskDestroyed(Landroid/os/storage/DiskInfo;)V,,,,,,,,,,,,,,,,,,,
Landroid/os/storage/StorageEventListener;->onDiskScanned(Landroid/os/storage/DiskInfo;I)V,,,,,,,,,,,,,,,,,,,
Landroid/os/storage/StorageEventListener;->onVolumeForgotten(Ljava/lang/String;)V,,,,,,,,,,,,,,,,,,,
Landroid/os/storage/StorageEventListener;->onVolumeRecordChanged(Landroid/os/storage/VolumeRecord;)V,,,,,,,,,,,,,,,,,,,
Landroid/os/storage/StorageEventListener;->onVolumeStateChanged(Landroid/os/storage/VolumeInfo;II)V,,,,,,,,,,,,,,,,,,,
Landroid/os/storage/StorageManager;->CRYPT_TYPE_DEFAULT:I,,,,,,,,,,,,,,,,,,,
Landroid/os/storage/StorageManager;->CRYPT_TYPE_PASSWORD:I,,,,,,,,,,,,,,,,,,,
Landroid/os/storage/StorageManager;->disableUsbMassStorage()V,,,,,,,,,,,,,,,,,,,
Landroid/os/storage/StorageManager;->enableUsbMassStorage()V,,,,,,,,,,,,,,,,,,,
Landroid/os/storage/StorageManager;->ENCRYPTION_STATE_NONE:I,,,,,,,,,,,,,,,,,,,
Landroid/os/storage/StorageManager;->findVolumeById(Ljava/lang/String;)Landroid/os/storage/VolumeInfo;,,,,,,,,,,,,,,,,,,,
Landroid/os/storage/StorageManager;->format(Ljava/lang/String;)V,,,,,,,,,,,,,,,,,,,
Landroid/os/storage/StorageManager;->getStorageFullBytes(Ljava/io/File;)J,,,,,,,,,,,,,,,,,,,
Landroid/os/storage/StorageManager;->getStorageVolume([Landroid/os/storage/StorageVolume;Ljava/io/File;)Landroid/os/storage/StorageVolume;,,,,,,,,,,,,,,,,,,,
Landroid/os/storage/StorageManager;->isFileEncryptedNativeOnly()Z,,,,,,,,,,,,,,,,,,,
Landroid/os/storage/StorageManager;->isUsbMassStorageConnected()Z,,,,,,,,,,,,,,,,,,,
Landroid/os/storage/StorageManager;->partitionPublic(Ljava/lang/String;)V,,,,,,,,,,,,,,,,,,,
Landroid/os/storage/StorageVolume;->getFatVolumeId()I,,,,,,,,,,,,,,,,,,,
Landroid/os/storage/VolumeInfo;->CREATOR:Landroid/os/Parcelable$Creator;,,,,,,,,,,,,,,,,,,,
Landroid/os/storage/VolumeInfo;->getInternalPath()Ljava/io/File;,,,,,,,,,,,,,,,,,,,
Landroid/os/storage/VolumeInfo;-><init>(Landroid/os/Parcel;)V,,,,,,,,,,,,,,,,,,,
Landroid/os/storage/VolumeInfo;->isPrimaryEmulatedForUser(I)Z,,,,,,,,,,,,,,,,,,,
Landroid/os/storage/VolumeInfo;->isVisibleForWrite(I)Z,,,,,,,,,,,,,,,,,,,
Landroid/os/storage/VolumeRecord;->CREATOR:Landroid/os/Parcelable$Creator;,,,,,,,,,,,,,,,,,,,
Landroid/os/storage/VolumeRecord;-><init>(Landroid/os/Parcel;)V,,,,,,,,,,,,,,,,,,,
Landroid/os/StrictMode;->incrementExpectedActivityCount(Ljava/lang/Class;)V,,,,,,,,,,,,,,,,,,,
Landroid/os/StrictMode;->onBinderStrictModePolicyChange(I)V,,,,,,,,,,,,,,,,,,,
Landroid/os/SystemClock;->currentThreadTimeMicro()J,,,,,,,,,,,,,,,,,,,
Landroid/os/SystemProperties;->PROP_NAME_MAX:I,,,,,,,,,,,,,,,,,,,
Landroid/os/SystemProperties;->removeChangeCallback(Ljava/lang/Runnable;)V,,,,,,,,,,,,,,,,,,,
Landroid/os/SystemService;->stop(Ljava/lang/String;)V,,,,,,,,,,,,,,,,,,,
Landroid/os/Trace;->TRACE_TAG_VIEW:J,,,,,,,,,,,,,,,,,,,
Landroid/os/UpdateLock;->acquire()V,,,,,,,,,,,,,,,,,,,
Landroid/os/UpdateLock;->isHeld()Z,,,,,,,,,,,,,,,,,,,
Landroid/os/UpdateLock;->release()V,,,,,,,,,,,,,,,,,,,
Landroid/os/UpdateLock;->TIMESTAMP:Ljava/lang/String;,,,,,,,,,,,,,,,,,,,
Landroid/os/UserHandle;->AID_APP_END:I,,,,,,,,,,,,,,,,,,,
Landroid/os/UserHandle;->AID_APP_START:I,,,,,,,,,,,,,,,,,,,
Landroid/os/UserHandle;->AID_CACHE_GID_START:I,,,,,,,,,,,,,,,,,,,
Landroid/os/UserHandle;->AID_ROOT:I,,,,,,,,,,,,,,,,,,,
Landroid/os/UserHandle;->AID_SHARED_GID_START:I,,,,,,,,,,,,,,,,,,,
Landroid/os/UserHandle;->ERR_GID:I,,,,,,,,,,,,,,,,,,,
Landroid/os/UserHandle;->USER_SERIAL_SYSTEM:I,,,,,,,,,,,,,,,,,,,
Landroid/os/UserManager;->canSwitchUsers()Z,,,,,,,,,,,,,,,,,,,
Landroid/os/UserManager;->DISALLOW_RECORD_AUDIO:Ljava/lang/String;,,,,,,,,,,,,,,,,,,,
Landroid/os/UserManager;->getUserStartRealtime()J,,,,,,,,,,,,,,,,,,,
Landroid/os/UserManager;->getUserUnlockRealtime()J,,,,,,,,,,,,,,,,,,,
Landroid/os/UserManager;->isDeviceInDemoMode(Landroid/content/Context;)Z,,,,,,,,,,,,,,,,,,,
Landroid/os/UserManager;->isGuestUser(I)Z,,,,,,,,,,,,,,,,,,,
Landroid/os/VibrationEffect$OneShot;->CREATOR:Landroid/os/Parcelable$Creator;,,,,,,,,,,,,,,,,,,,
Landroid/os/VibrationEffect;->EFFECT_POP:I,,,,,,,,,,,,,,,,,,,
Landroid/os/VibrationEffect;->EFFECT_THUD:I,,,,,,,,,,,,,,,,,,,
Landroid/os/VibrationEffect;->RINGTONES:[I,,,,,,,,,,,,,,,,,,,
Landroid/preference/PreferenceActivity;->getHeaders()Ljava/util/List;,,,,,,,,,,,,,,,,,,,
Landroid/preference/PreferenceFragment;->mPreferenceManager:Landroid/preference/PreferenceManager;,,,,,,,,,,,,,,,,,,,
Landroid/preference/PreferenceScreen;->mListView:Landroid/widget/ListView;,,,,,,,,,,,,,,,,,,,
Landroid/preference/SeekBarPreference;-><init>(Landroid/content/Context;)V,,,,,,,,,,,,,,,,,,,
Landroid/preference/SwitchPreference;->mListener:Landroid/preference/SwitchPreference$Listener;,,,,,,,,,,,,,,,,,,,
Landroid/provider/BrowserContract$Accounts;->CONTENT_URI:Landroid/net/Uri;,,,,,,,,,,,,,,,,,,,
Landroid/provider/BrowserContract$Bookmarks;->buildFolderUri(J)Landroid/net/Uri;,,,,,,,,,,,,,,,,,,,
Landroid/provider/BrowserContract$Bookmarks;->CONTENT_URI_DEFAULT_FOLDER:Landroid/net/Uri;,,,,,,,,,,,,,,,,,,,
Landroid/provider/BrowserContract$Combined;->CONTENT_URI:Landroid/net/Uri;,,,,,,,,,,,,,,,,,,,
Landroid/provider/BrowserContract$History;->CONTENT_URI:Landroid/net/Uri;,,,,,,,,,,,,,,,,,,,
Landroid/provider/BrowserContract$Images;->CONTENT_URI:Landroid/net/Uri;,,,,,,,,,,,,,,,,,,,
Landroid/provider/BrowserContract;->AUTHORITY_URI:Landroid/net/Uri;,,,,,,,,,,,,,,,,,,,
Landroid/provider/CalendarContract$CalendarAlerts;->findNextAlarmTime(Landroid/content/ContentResolver;J)J,,,,,,,,,,,,,,,,,,,
Landroid/provider/CalendarContract$CalendarAlerts;->rescheduleMissedAlarms(Landroid/content/ContentResolver;Landroid/content/Context;Landroid/app/AlarmManager;)V,,,,,,,,,,,,,,,,,,,
Landroid/provider/CalendarContract$CalendarAlerts;->scheduleAlarm(Landroid/content/Context;Landroid/app/AlarmManager;J)V,,,,,,,,,,,,,,,,,,,
Landroid/provider/CalendarContract$Events;->PROVIDER_WRITABLE_COLUMNS:[Ljava/lang/String;,,,,,,,,,,,,,,,,,,,
Landroid/provider/CalendarContract$Events;->SYNC_WRITABLE_COLUMNS:[Ljava/lang/String;,,,,,,,,,,,,,,,,,,,
Landroid/provider/ContactsContract$CommonDataKinds$Phone;->ENTERPRISE_CONTENT_URI:Landroid/net/Uri;,,,,,,,,,,,,,,,,,,,
Landroid/provider/ContactsContract;->HIDDEN_COLUMN_PREFIX:Ljava/lang/String;,,,,,,,,,,,,,,,,,,,
Landroid/provider/DocumentsContract;->METHOD_CREATE_DOCUMENT:Ljava/lang/String;,,,,,,,,,,,,,,,,,,,
Landroid/provider/DocumentsContract;->PATH_DOCUMENT:Ljava/lang/String;,,,,,,,,,,,,,,,,,,,
Landroid/provider/DocumentsContract;->PATH_TREE:Ljava/lang/String;,,,,,,,,,,,,,,,,,,,
Landroid/provider/Downloads$Impl$RequestHeaders;->INSERT_KEY_PREFIX:Ljava/lang/String;,,,,,,,,,,,,,,,,,,,
Landroid/provider/Downloads$Impl;->COLUMN_ALLOWED_NETWORK_TYPES:Ljava/lang/String;,,,,,,,,,,,,,,,,,,,
Landroid/provider/Downloads$Impl;->COLUMN_ALLOW_ROAMING:Ljava/lang/String;,,,,,,,,,,,,,,,,,,,
Landroid/provider/Downloads$Impl;->COLUMN_COOKIE_DATA:Ljava/lang/String;,,,,,,,,,,,,,,,,,,,
Landroid/provider/Downloads$Impl;->COLUMN_DELETED:Ljava/lang/String;,,,,,,,,,,,,,,,,,,,
Landroid/provider/Downloads$Impl;->COLUMN_DESCRIPTION:Ljava/lang/String;,,,,,,,,,,,,,,,,,,,
Landroid/provider/Downloads$Impl;->COLUMN_DESTINATION:Ljava/lang/String;,,,,,,,,,,,,,,,,,,,
Landroid/provider/Downloads$Impl;->COLUMN_FILE_NAME_HINT:Ljava/lang/String;,,,,,,,,,,,,,,,,,,,
Landroid/provider/Downloads$Impl;->COLUMN_IS_PUBLIC_API:Ljava/lang/String;,,,,,,,,,,,,,,,,,,,
Landroid/provider/Downloads$Impl;->COLUMN_IS_VISIBLE_IN_DOWNLOADS_UI:Ljava/lang/String;,,,,,,,,,,,,,,,,,,,
Landroid/provider/Downloads$Impl;->COLUMN_MEDIA_SCANNED:Ljava/lang/String;,,,,,,,,,,,,,,,,,,,
Landroid/provider/Downloads$Impl;->COLUMN_MIME_TYPE:Ljava/lang/String;,,,,,,,,,,,,,,,,,,,
Landroid/provider/Downloads$Impl;->COLUMN_NOTIFICATION_CLASS:Ljava/lang/String;,,,,,,,,,,,,,,,,,,,
Landroid/provider/Downloads$Impl;->COLUMN_NOTIFICATION_EXTRAS:Ljava/lang/String;,,,,,,,,,,,,,,,,,,,
Landroid/provider/Downloads$Impl;->COLUMN_NOTIFICATION_PACKAGE:Ljava/lang/String;,,,,,,,,,,,,,,,,,,,
Landroid/provider/Downloads$Impl;->COLUMN_REFERER:Ljava/lang/String;,,,,,,,,,,,,,,,,,,,
Landroid/provider/Downloads$Impl;->COLUMN_TITLE:Ljava/lang/String;,,,,,,,,,,,,,,,,,,,
Landroid/provider/Downloads$Impl;->COLUMN_URI:Ljava/lang/String;,,,,,,,,,,,,,,,,,,,
Landroid/provider/Downloads$Impl;->COLUMN_VISIBILITY:Ljava/lang/String;,,,,,,,,,,,,,,,,,,,
